name,latitude,longitude,scientificName,publishingCountry,stateProvince,year,month,day,eventDate,individualCount
Asclepias speciosa Torr.,42.926649,-114.771812,Asclepias speciosa Torr.,FR,NA,2019,6,16,2019-06-16,1
Asclepias speciosa Torr.,43.517004,-112.054652,Asclepias speciosa Torr.,FR,NA,2019,6,28,2019-06-28,1
Asclepias speciosa Torr.,45.332287,-118.069984,Asclepias speciosa Torr.,FR,NA,2019,6,18,2019-06-18,1
Asclepias speciosa Torr.,47.429495,-120.302865,Asclepias speciosa Torr.,FR,NA,2019,6,1,2019-06-01,1
Asclepias speciosa Torr.,50.041098,-119.393139,Asclepias speciosa Torr.,FR,NA,2019,6,6,2019-06-06,1
Asclepias speciosa Torr.,39.950927,-105.013921,Asclepias speciosa Torr.,FR,NA,2019,6,20,2019-06-20,1
Asclepias speciosa Torr.,39.644382,-101.787569,Asclepias speciosa Torr.,FR,NA,2019,6,22,2019-06-22,1
Asclepias speciosa Torr.,44.009889,-123.034687,Asclepias speciosa Torr.,FR,NA,2019,6,13,2019-06-13,1
Asclepias speciosa Torr.,46.249746,-119.258211,Asclepias speciosa Torr.,FR,NA,2019,6,23,2019-06-23,1
Asclepias speciosa Torr.,38.852333,-104.77437,Asclepias speciosa Torr.,FR,NA,2019,6,22,2019-06-22,1
Asclepias speciosa Torr.,39.613374,-105.131412,Asclepias speciosa Torr.,FR,NA,2019,6,26,2019-06-26,1
Asclepias speciosa Torr.,47.67,-120.215556,Asclepias speciosa Torr.,FR,NA,2019,6,28,2019-06-28,1
Asclepias speciosa Torr.,49.053565999999996,-119.520233,Asclepias speciosa Torr.,FR,NA,2019,6,21,2019-06-21,1
Asclepias speciosa Torr.,40.534804,-111.900626,Asclepias speciosa Torr.,FR,NA,2019,6,23,2019-06-23,1
Asclepias speciosa Torr.,49.096772,-122.008786,Asclepias speciosa Torr.,FR,NA,2019,6,25,2019-06-25,1
Asclepias speciosa Torr.,45.332182,-118.070003,Asclepias speciosa Torr.,FR,NA,2019,6,17,2019-06-17,1
Asclepias speciosa Torr.,42.948988,-115.301281,Asclepias speciosa Torr.,FR,NA,2019,6,23,2019-06-23,1
Asclepias speciosa Torr.,36.351138,-105.647915,Asclepias speciosa Torr.,FR,NA,2019,6,24,2019-06-24,1
Asclepias speciosa Torr.,39.763898,-105.004255,Asclepias speciosa Torr.,FR,NA,2019,6,21,2019-06-21,1
Asclepias speciosa Torr.,37.574562,-97.3196,Asclepias speciosa Torr.,FR,NA,2019,6,16,2019-06-16,1
Asclepias speciosa Torr.,39.735874,-104.767886,Asclepias speciosa Torr.,FR,NA,2019,6,26,2019-06-26,1
Asclepias speciosa Torr.,47.012814,-122.889198,Asclepias speciosa Torr.,FR,NA,2019,6,27,2019-06-27,1
Asclepias speciosa Torr.,46.329926,-119.995166,Asclepias speciosa Torr.,FR,NA,2019,6,27,2019-06-27,1
Asclepias speciosa Torr.,48.839376,-119.314057,Asclepias speciosa Torr.,FR,NA,2019,6,30,2019-06-30,1
Asclepias speciosa Torr.,50.062778,-110.78054,Asclepias speciosa Torr.,FR,NA,2019,6,26,2019-06-26,1
Asclepias speciosa Torr.,39.910287,-104.983705,Asclepias speciosa Torr.,FR,NA,2019,6,20,2019-06-20,1
Asclepias speciosa Torr.,40.534804,-111.900626,Asclepias speciosa Torr.,FR,NA,2019,6,22,2019-06-22,1
Asclepias speciosa Torr.,39.61746,-105.13033,Asclepias speciosa Torr.,FR,NA,2019,6,18,2019-06-18,1
